"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","testMonoWithValue()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testMonoWithValue"
"","7","testSendCollection()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testSendCollection"
"","45","testRawCRI1()","","Fri Mar 06 08:29:36 UTC 2026","passed","Fri Mar 06 08:29:36 UTC 2026","","org.kinotic.core.internal.api.CRITests","org.kinotic.core.internal.api.CRITests","testRawCRI1"
"","8","testSendTokenBuffer()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testSendTokenBuffer"
"","22","testMonoWithVoidFromNull()","","Fri Mar 06 08:29:44 UTC 2026","passed","Fri Mar 06 08:29:44 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testMonoWithVoidFromNull"
"","9","testMissingServiceFailure()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testMissingServiceFailure"
"","47","testCreateFindRemove()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.TestSessionManager","org.kinotic.core.internal.api.TestSessionManager","testCreateFindRemove"
"","13","testSimpleObject()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testSimpleObject"
"","10","testUnknownFailure()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testUnknownFailure"
"","832","testRpcCompletableFutureString()","","Fri Mar 06 08:29:43 UTC 2026","passed","Fri Mar 06 08:29:44 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testRpcCompletableFutureString"
"","17","testException()","","Fri Mar 06 08:30:22 UTC 2026","broken","Fri Mar 06 08:30:22 UTC 2026","","org.kinotic.orchestrator.internal.api.TestJobService","org.kinotic.orchestrator.internal.api.TestJobService","testException"
"","20","testMonoIntegerNull()","","Fri Mar 06 08:29:44 UTC 2026","passed","Fri Mar 06 08:29:44 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testMonoIntegerNull"
"","25","testABunchOfArguments()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testABunchOfArguments"
"","9","testMonoEmptyString()","","Fri Mar 06 08:29:44 UTC 2026","passed","Fri Mar 06 08:29:44 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testMonoEmptyString"
"","10","testSendAndReceiveCollection()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testSendAndReceiveCollection"
"","82","testPutListOfSimpleObjects()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testPutListOfSimpleObjects"
"","23","testPutNestedGenerics()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testPutNestedGenerics"
"","3","testSendTwoArgsReturnOne()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testSendTwoArgsReturnOne"
"","0","testEventStreamWriteWithoutKey()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.event.EventStreamServiceTest","org.kinotic.core.internal.api.event.EventStreamServiceTest","testEventStreamWriteWithoutKey"
"","4","testMonoStringLiterallyNull()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testMonoStringLiterallyNull"
"","8","testLimitedFlux()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testLimitedFlux"
"","6","testRawCRI2()","","Fri Mar 06 08:29:36 UTC 2026","passed","Fri Mar 06 08:29:36 UTC 2026","","org.kinotic.core.internal.api.CRITests","org.kinotic.core.internal.api.CRITests","testRawCRI2"
"","5","testNestedArrays()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testNestedArrays"
"","0","testEventStreamWriteWithKey()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.event.EventStreamServiceTest","org.kinotic.core.internal.api.event.EventStreamServiceTest","testEventStreamWriteWithKey"
"","4018","testInfiniteFlux()","","Fri Mar 06 08:29:44 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testInfiniteFlux"
"","16","testPutMapOfSimpleObjects()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testPutMapOfSimpleObjects"
"","5","testFirstArgParticipant()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testFirstArgParticipant"
"","6","testMonoWithVoidFromEmpty()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testMonoWithVoidFromEmpty"
"","4","testLastArgParticipant()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testLastArgParticipant"
"","1","testSimple()","","Fri Mar 06 08:30:22 UTC 2026","broken","Fri Mar 06 08:30:22 UTC 2026","","org.kinotic.orchestrator.internal.api.TestJobService","org.kinotic.orchestrator.internal.api.TestJobService","testSimple"
"","21","testMissingRemoteMethodFailure()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testMissingRemoteMethodFailure"
"","1","testAutowireCollection()","","Fri Mar 06 08:30:22 UTC 2026","broken","Fri Mar 06 08:30:22 UTC 2026","","org.kinotic.orchestrator.internal.api.TestJobService","org.kinotic.orchestrator.internal.api.TestJobService","testAutowireCollection"
"","15","testMiddleArgParticipant()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testMiddleArgParticipant"
"","5","testReceiveCollection()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testReceiveCollection"
"","104","testVertxFuture()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testVertxFuture"
"","21","testMultipleRequests()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testMultipleRequests"
"","23","testSchemaFactory()","","Fri Mar 06 08:30:01 UTC 2026","passed","Fri Mar 06 08:30:01 UTC 2026","","org.kinotic.continuum.idl.internal.TestSchemaFactory","org.kinotic.continuum.idl.internal.TestSchemaFactory","testSchemaFactory"
"","1141","testSerializeDeserializeObjectC3Type()","","Fri Mar 06 08:30:00 UTC 2026","passed","Fri Mar 06 08:30:01 UTC 2026","","org.kinotic.continuum.idl.internal.TestIdl","org.kinotic.continuum.idl.internal.TestIdl","testSerializeDeserializeObjectC3Type"
"","1","testAutowired()","","Fri Mar 06 08:30:22 UTC 2026","broken","Fri Mar 06 08:30:22 UTC 2026","","org.kinotic.orchestrator.internal.api.TestJobService","org.kinotic.orchestrator.internal.api.TestJobService","testAutowired"
"","5","testMonoStringNull()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testMonoStringNull"
"","133","testVertxFutureNullString()","","Fri Mar 06 08:29:48 UTC 2026","passed","Fri Mar 06 08:29:48 UTC 2026","","org.kinotic.core.internal.api.RpcTests","org.kinotic.core.internal.api.RpcTests","testVertxFutureNullString"
